"State","electoralVotesNumber","peoplePerElector","Pop"
"California","55","726136.3636","39937500"
"Texas","38","775586.8421","29472300"
"New York","29","670362.0690","19440500"
"Florida","29","758379.3103","21993000"
"Pennsylvania","20","641045","12820900"
"Illinois","20","632985","12659700"
"Ohio","18","652650","11747700"
"Michigan","16","627812.5000","10045000"
"Georgia","16","671006.2500","10736100"
"North Carolina","15","707460","10611900"
"New Jersey","14","638326.4286","8936570"
"Virginia","13","663554.6154","8626210"
"Washington","12","649758.3333","7797100"
"Tennessee","11","627052.7273","6897580"
"Massachusetts","11","634236.3636","6976600"
"Indiana","11","613213.6364","6745350"
"Arizona","11","670771.8182","7378490"
"Wisconsin","10","585175","5851750"
"Missouri","10","616927","6169270"
"Minnesota","10","570067","5700670"
"Maryland","10","608312","6083120"
"South Carolina","9","578900","5210100"
"Colorado","9","649503.3333","5845530"
"Alabama","9","545402.2222","4908620"
"Louisiana","8","580647.5000","4645180"
"Kentucky","8","562461.2500","4499690"
"Oregon","7","614441.4286","4301090"
"Oklahoma","7","564974.2857","3954820"
"Connecticut","7","509011.4286","3563080"
"Utah","6","547020","3282120"
"Nevada","6","523276.6667","3139660"
"Mississippi","6","498210","2989260"
"Kansas","6","485060","2910360"
"Iowa","6","529975","3179850"
"Arkansas","6","506500","3039000"
"West Virginia","5","355614","1778070"
"New Mexico","5","419328","2096640"
"Nebraska","5","390514","1952570"
"Rhode Island","4","264040","1056160"
"New Hampshire","4","342812.5000","1371250"
"Maine","4","336447.5000","1345790"
"Idaho","4","456540","1826160"
"Hawaii","4","353172.5000","1412690"
"Wyoming","3","189008.3333","567025"
"Vermont","3","209353.6667","628061"
"South Dakota","3","301009","903027"
"North Dakota","3","253907.6667","761723"
"Montana","3","362253.3333","1086760"
"Delaware","3","327631.6667","982895"
"Alaska","3","244667.3333","734002"